,id,name,subject_id
0,,,
0,ACC198, Accounting Professionalism,ACC
0,ACC215, Intro Financial Accounting(CT),ACC
0,ACC216, Intro Managerial Accounting,ACC
0,ACC311, Intermediate Accounting I,ACC
0,ACC312, Intermediate Accounting II,ACC
0,ACC318, Cost Accounting I,ACC
0,ACC341, Acc Information Systems,ACC
0,ACC348, Federal Taxation,ACC
0,ACC429, Auditing I,ACC
0,ACC440, Accounting Analytics,ACC
0,ACC448, Federal Income Tax II,ACC
0,ACC480, SpTp: Cyber Inv ACC Data,ACC
0,ACC490, Internship,ACC
0,ACC499, Professional and Ethics Sem,ACC
0,ACE304, Safety in CTE,ACE
0,ACE305, Methods of Examination in CTE,ACE
0,ACE307, Computer Applications in CTE,ACE
0,ACE409, Coord CTE Youth Activities,ACE
0,ACE421, Teach Special Students in CTE,ACE
0,ACE422, Occup Update Back to Industry,ACE
0,ACE423, Occup Update Bus./Ind. Enrich,ACE
0,ACE424, Occup Update Instructor Dev,ACE
0,ACE425, Occup Update Other,ACE
0,ACE499, Senior Project in CTE,ACE
0,AM298, Sophomore Review,AM
0,AM498, Senior PreCapstone,AM
0,AM499, Senior Capstone Project,AM
0,AMT101, Beginning Aviation Maintenance,AMT
0,AMT102, Regulations & Publications,AMT
0,AMT103, Technical Skills & Practices,AMT
0,AMT105, Aviation Utility Systems,AMT
0,AMT109, Aviation Electronics,AMT
0,AMT110, Aviation Power Systems,AMT
0,AMT202, Sheet Metal Structures,AMT
0,AMT204, Propeller & Control Systems,AMT
0,AMT205, Turbine Engines,AMT
0,AMT207, Turbine Engine Maintenance,AMT
0,AMT208, Cabin Atmosphere Systems,AMT
0,ANT201, Cultural Anthropology (CT),ANT
0,ANT322, Archaeology,ANT
0,ANT325, World Prehistory,ANT
0,ANT362," Health, Culture & Society",ANT
0,ANT371, Linguistic Anthropology,ANT
0,ANT480, SpTp: Forensic Anthropology,ANT
0,ANT491, Anthropological Theory,ANT
0,ANT493, Senior Seminar II,ANT
0,ART112, Intro To Visual Art,ART
0,ART202, History of Art II (CT),ART
0,ART214, Foundations: Grid/Chroma,ART
0,ART215, Foundations: Form/Space,ART
0,ART217, Foundations: Record/Layer,ART
0,ART218, Foundations: Site/Matrix,ART
0,ART219, Foundations: Frame/Time,ART
0,ART298, Foundations Review: BFA,ART
0,ART299, Foundations Review: BA,ART
0,ART301, Printmaking Processes,ART
0,ART307, Sculpture,ART
0,ART308, Weaving,ART
0,ART314, Graphic Design I,ART
0,ART320, Silk Screen Printmaking,ART
0,ART325, Image Visualization: Digital,ART
0,ART327, Filmmaking I,ART
0,ART329, Cinematic NonFiction,ART
0,ART335, Art Ed 2D3D,ART
0,ART340, Art Education: Secondary,ART
0,ART343, Intro to Potter's Wheel,ART
0,ART350, Watercolor Painting,ART
0,ART351, Advanced Watercolor,ART
0,ART389, 20th Century Art,ART
0,ART415, Northern Renaissance Art,ART
0,ART419, Textile Construction,ART
0,ART425, History of Photography,ART
0,ART434, Video Art,ART
0,ART440, Adv Graphic Design,ART
0,ART443, Mm/Assemblage Sculpture,ART
0,ART446, Intermed Potter's Wheel,ART
0,ART448, Ceramic Mat & Processes,ART
0,ART454, Motion Design II,ART
0,ART481, SpTp: Contemporary Art History,ART
0,ART482, SpTp: Art in America,ART
0,ART485, Independent Study,ART
0,ART486, Independent Study,ART
0,ART489, Graphic Design Portfolio,ART
0,ART490, Apprenticeship,ART
0,ART491, Graphic Design Workshop,ART
0,ART497, Capstone StudioBFA,ART
0,ART497, Capstone StudioBA,ART
0,ART498, Senior Capstone Exhibition BFA,ART
0,AVSC102, Flight School Orientation,AVSC
0,AVSC200, Private Pilot Ground School,AVSC
0,AVSC205, Solo Flight Lab,AVSC
0,AVSC210, Private Pilot Cert ASEL Lab,AVSC
0,AVSC215, Instrument Ground School,AVSC
0,AVSC220, Instrument Certification Lab,AVSC
0,AVSC231, Aviation Law and Regulations,AVSC
0,AVSC305, CFII Lab,AVSC
0,AVSC310, Aerodynamics & Performance,AVSC
0,AVSC311, Aircraft Systems,AVSC
0,AVSC315, Airport Operations and Mgmt,AVSC
0,AVSC329, Commercial Ground School,AVSC
0,AVSC330, Commercial Phase I Lab,AVSC
0,AVSC335, CFI Ground School,AVSC
0,AVSC340, Commercial Phase II ASEL Lab,AVSC
0,AVSC345, Initial CFI ASEL Lab,AVSC
0,AVSC355, Aviation Weather,AVSC
0,AVSC375, Commercial AMEL AddOn Lab,AVSC
0,AVSC420, International Aviation,AVSC
0,AVSC495, Internship in Aviation Ops,AVSC
0,BME201, Biomedical Engineering Seminar,BME
0,BME306, Tissue Engineering,BME
0,BME310, Modeling & Simulation Bio Syst,BME
0,BME460, Mechanics of Biofuilds,BME
0,BME466, Biomedical Engr Capstone II,BME
0,BME480, SpTp: Bioelectronics,BME
0,BME481, SpTp: Nanomedicine,BME
0,BME482, SpTp: Indiv Rsrch Practicum,BME
0,BSC104, Introduction to Biology,BSC
0,BSC104L, Introduction to Biology Lab,BSC
0,BSC105, Human Biology,BSC
0,BSC105L, Human Biology Lab,BSC
0,BSC120, Principles of Biology I,BSC
0,BSC120L, Principles of Biology I Lab,BSC
0,BSC121, Principles of Biology II,BSC
0,BSC121L, Prin of Biology II Lab,BSC
0,BSC227, Human Anatomy,BSC
0,BSC227L, Human Anatomy Lab,BSC
0,BSC228, Human Physiology,BSC
0,BSC228L, Human Physiology Lab,BSC
0,BSC250, Microbiol & Human Disease,BSC
0,BSC250L, Microbio and Human Disease Lab,BSC
0,BSC302, Principles of Microbiology,BSC
0,BSC304, Microbiology Lab,BSC
0,BSC320, Principles of Ecology,BSC
0,BSC322, Principles Cell Biology,BSC
0,BSC324, Principles of Genetics,BSC
0,BSC332, Principles of Human Anatomy,BSC
0,BSC332L, Prin of Human Anatomy Lab,BSC
0,BSC334, Principles of Human Physiology,BSC
0,BSC334L, Prin of Human Physiology Lab,BSC
0,BSC340, Principles of Evolution,BSC
0,BSC417, Biostatistics,BSC
0,BSC421, Phycology,BSC
0,BSC422, Animal Physiology,BSC
0,BSC428, Neuroscience,BSC
0,BSC430, Plant Ecology,BSC
0,BSC436, Vertebrate Embryology,BSC
0,BSC443, Microbial Genetics,BSC
0,BSC451, Molecular Medicine,BSC
0,BSC480, SpTp: R Data Analysis,BSC
0,BSC481, SpTp: Human Genetics,BSC
0,BSC482," SpTp: Drugs, Brain & Behavior",BSC
0,BSC485, Independent Study,BSC
0,BSC491, Capstone Experience,BSC
0,BSPS101, Intro to Careers in Pharm Sci,BSPS
0,BUSN290, Internship,BUSN
0,BUSN490, Internship,BUSN
0,CD101, Intro Communic Disorders,CD
0,CD228, Language and Speech Dev,CD
0,CD229, Anatomy Speech Mechanism,CD
0,CD239, Phonetics,CD
0,CD241, Intro Communication Science,CD
0,CD322, Dev Speech Disorders,CD
0,CD328, Developmental Lang Dis,CD
0,CD330, Acq Comm Swallowing Dis,CD
0,CD401, Inquiry in CD,CD
0,CD420, Voice and Fluency Disorders,CD
0,CD427, Therapeutic Procedures II,CD
0,CD460, Basic Audiology,CD
0,CD461, Sign Language for SLP,CD
0,CD470L, Therapeutic Procedures Lab,CD
0,CD485, Independent Study,CD
0,CE322, Geotechnical Engineering,CE
0,CE331, Hydraulic Engineering,CE
0,CE342, Transportation Engineering,CE
0,CE351, Environmental Engineering,CE
0,CE414, Structural Steel Design,CE
0,CE438, Pavement Design and Management,CE
0,CE452, Senior Seminar of Civil Engr,CE
0,CE453, Capstone Senior Design,CE
0,CFS200, Introduction to CFS,CFS
0,CFS261, Introduction to Linux,CFS
0,CFS305, Open Source Intelligence,CFS
0,CFS400, Intro to Cyber Forensics,CFS
0,CFS420, Incident Response,CFS
0,CFS440, Digital Evidence,CFS
0,CFS445, Mobile & Web Pen Testing,CFS
0,CFS454, Network Defense,CFS
0,CFS461, Cyber Warfare,CFS
0,CFS462, Network Forensics,CFS
0,CFS467, Mobile Device Forensics,CFS
0,CFS485, Independent Study,CFS
0,CFS490, Capstone,CFS
0,CHM111, Foundations of Chemistry,CHM
0,CHM205," General, Organic, and Biochem",CHM
0,CHM211, Principles of Chemistry I,CHM
0,CHM212, Principles Chemistry II,CHM
