,id,textbook_link,course_id
0,,,
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2002&subj=ACC&sec=201&course=198&term=202502,ACC198
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2003&subj=ACC&sec=201&course=215&term=202502,ACC215
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2004&subj=ACC&sec=202&course=215&term=202502,ACC215
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2005&subj=ACC&sec=203&course=215&term=202502,ACC215
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2006&subj=ACC&sec=204&course=215&term=202502,ACC215
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2007&subj=ACC&sec=205&course=215&term=202502,ACC215
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2008&subj=ACC&sec=201&course=216&term=202502,ACC216
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2009&subj=ACC&sec=202&course=216&term=202502,ACC216
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2010&subj=ACC&sec=203&course=216&term=202502,ACC216
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2011&subj=ACC&sec=204&course=216&term=202502,ACC216
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2012&subj=ACC&sec=205&course=216&term=202502,ACC216
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2013&subj=ACC&sec=201&course=311&term=202502,ACC311
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2014&subj=ACC&sec=202&course=311&term=202502,ACC311
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2015&subj=ACC&sec=201&course=312&term=202502,ACC312
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2016&subj=ACC&sec=202&course=312&term=202502,ACC312
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2017&subj=ACC&sec=201&course=318&term=202502,ACC318
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2018&subj=ACC&sec=201&course=341&term=202502,ACC341
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2019&subj=ACC&sec=201&course=348&term=202502,ACC348
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2020&subj=ACC&sec=201&course=429&term=202502,ACC429
